hypertensive disease,pain chest
hypertensive disease,shortness of breath
hypertensive disease,dizziness
hypertensive disease,asthenia
hypertensive disease,fall
hypertensive disease,syncope
hypertensive disease,vertigo
hypertensive disease,sweat sweating increased
hypertensive disease,palpitation
hypertensive disease,nausea
hypertensive disease,angina pectoris
hypertensive disease,pressure chest
diabetes,polyuria
diabetes,polydypsia
diabetes,shortness of breath
diabetes,pain chest
diabetes,asthenia
diabetes,nausea
diabetes,orthopnea
diabetes,rale
diabetes,sweat sweating increased
diabetes,unresponsiveness
diabetes,mental status changes
diabetes,vertigo
diabetes,vomiting
diabetes,labored breathing
"depression mental , depressive disorder",feeling suicidal
"depression mental , depressive disorder",suicidal
"depression mental , depressive disorder",hallucinations auditory
"depression mental , depressive disorder",feeling hopeless
"depression mental , depressive disorder",weepiness
"depression mental , depressive disorder",sleeplessness
"depression mental , depressive disorder",motor retardation
"depression mental , depressive disorder",irritable mood
"depression mental , depressive disorder",blackout
"depression mental , depressive disorder",mood depressed
"depression mental , depressive disorder",hallucinations visual
"depression mental , depressive disorder",worry
"depression mental , depressive disorder",agitation
"depression mental , depressive disorder",tremor
"depression mental , depressive disorder",intoxication
"depression mental , depressive disorder",verbal auditory hallucinations
"depression mental , depressive disorder",energy increased
"depression mental , depressive disorder",difficulty
"depression mental , depressive disorder",nightmare
"depression mental , depressive disorder",unable to concentrate
"depression mental , depressive disorder",homelessness
"coronary arteriosclerosis ,coronary heart disease",pain chest
"coronary arteriosclerosis ,coronary heart disease",angina pectoris
"coronary arteriosclerosis ,coronary heart disease",shortness of breath
"coronary arteriosclerosis ,coronary heart disease",hypokinesia
"coronary arteriosclerosis ,coronary heart disease",sweat sweating increased
"coronary arteriosclerosis ,coronary heart disease",pressure chest
"coronary arteriosclerosis ,coronary heart disease",dyspnea on exertion
"coronary arteriosclerosis ,coronary heart disease",orthopnea
"coronary arteriosclerosis ,coronary heart disease",chest tightness
pneumonia,cough
pneumonia,fever
pneumonia,decreased translucency
pneumonia,shortness of breath
pneumonia,rale
pneumonia,productive cough
pneumonia,pleuritic pain
pneumonia,yellow sputum
pneumonia,breath sounds decreased
pneumonia,chill
pneumonia,rhonchus
pneumonia,green sputum
pneumonia,non-productive cough
pneumonia,wheezing
pneumonia,haemoptysis
pneumonia,distress respiratory
pneumonia,tachypnea
pneumonia,malaise
pneumonia,night sweat
failure heart congestive,shortness of breath
